,Gender,Ever_Married,Age,Graduated,Work_Experience,Family_Size,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
32,1,0,31,0,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,1,1,72,1,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,41,1,9.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,0,0,61,1,11.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,1,1,62,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,1,1,56,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,1,1,60,1,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,1,1,68,1,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,1,0,19,0,3.0,8.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
41,1,1,57,1,8.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
42,1,0,19,0,5.0,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
43,0,1,51,1,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,0,1,86,0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,0,1,74,0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
46,1,0,23,0,6.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
47,1,1,47,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,0,0,19,0,7.0,6.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
49,1,1,50,0,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50,1,1,80,1,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
51,1,1,78,0,3.0,1.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
52,0,0,48,1,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
53,1,1,70,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,1,1,50,1,3.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
55,0,1,83,1,0.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
56,1,0,35,1,0.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
57,0,0,36,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
58,0,0,35,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
59,1,1,35,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,0,18,0,3.0,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
61,0,1,73,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,1,1,62,0,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63,0,1,46,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,1,1,43,1,0.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
65,0,0,32,1,7.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
66,1,0,39,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,0,1,89,1,0.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
68,0,0,18,0,0.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
69,0,1,57,1,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
70,0,0,18,0,0.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
71,0,1,71,1,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72,0,1,69,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,0,0,42,1,0.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
74,0,0,36,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
75,0,1,80,1,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
76,1,1,69,0,3.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
77,0,1,67,1,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,0,1,47,1,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,0,1,49,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,0,1,32,0,9.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
81,0,1,65,1,1.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
82,0,1,78,0,0.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
83,1,0,33,1,1.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
84,1,1,48,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
85,1,1,58,1,1.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
86,0,1,83,1,1.0,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
87,0,0,30,0,9.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
88,0,0,35,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
89,1,0,32,1,6.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
90,1,1,69,1,1.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
91,0,1,71,1,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
92,1,0,43,1,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
93,1,1,37,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
94,1,0,42,1,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
95,0,1,70,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,1,0,46,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
97,1,0,21,0,3.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
98,1,1,70,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,0,1,61,1,1.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
100,1,1,60,1,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
101,1,0,37,1,0.0,2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
102,1,1,30,1,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
103,0,0,32,1,1.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
104,1,1,26,1,0.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
105,1,0,42,1,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
106,0,0,18,0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
107,1,1,80,0,3.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
108,1,1,29,1,8.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
109,0,1,88,1,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
110,1,1,70,1,1.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
111,0,1,50,1,1.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
112,1,1,43,1,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,1,1,51,1,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,0,1,50,1,3.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
115,0,1,74,0,3.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
116,0,0,29,1,3.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
117,0,0,32,1,3.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
118,1,1,60,0,0.0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
119,1,0,46,1,2.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
120,0,1,81,1,0.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
121,1,1,41,0,3.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,1,1,22,0,0.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
123,1,1,37,1,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,1,1,43,0,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
125,1,1,50,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,0,1,35,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,1,1,65,0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
128,0,0,41,1,0.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
129,1,0,28,0,8.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
130,1,1,55,1,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,0,1,58,0,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
132,1,0,28,0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
133,1,1,48,1,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,0,1,78,0,1.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
135,0,0,35,1,1.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
136,0,1,76,1,0.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
137,0,1,88,1,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
138,1,1,61,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,0,1,79,1,3.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
140,1,0,30,0,0.0,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
141,1,1,69,0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
142,1,1,65,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,0,1,70,1,1.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
144,1,1,32,0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
145,1,1,46,1,3.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
146,1,0,21,0,8.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
147,1,1,47,1,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
148,0,0,39,0,0.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
149,1,1,85,1,0.0,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
150,0,0,66,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
151,0,1,50,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,0,1,42,1,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,1,1,53,1,9.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
154,1,1,37,1,3.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
155,0,1,45,1,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
156,0,0,66,0,3.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
157,1,0,33,0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
158,1,1,40,1,4.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
159,0,1,35,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,1,0,27,1,3.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
161,0,1,48,1,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,0,1,56,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,1,1,25,1,3.0,6.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
164,0,0,30,0,3.0,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
165,0,1,46,1,7.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
166,1,1,49,0,0.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
167,1,1,72,0,1.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
168,0,1,79,1,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
169,0,0,35,1,3.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
170,0,1,77,1,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
171,0,1,79,0,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
172,1,1,42,1,6.0,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
173,0,0,42,1,3.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
174,1,1,67,0,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
175,1,0,26,1,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
176,1,1,67,1,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
177,1,1,55,1,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
178,0,1,56,1,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,1,1,63,1,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,1,1,46,1,8.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,1,1,32,1,7.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
182,0,0,49,1,13.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
183,1,1,59,1,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
184,1,0,22,0,8.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
185,0,0,28,1,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
186,1,0,28,1,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
187,1,1,75,1,2.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
188,0,1,37,1,13.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
189,1,1,50,1,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,0,1,50,1,1.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
191,0,1,88,0,3.0,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
192,0,1,35,1,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,0,0,35,0,3.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
194,1,1,31,0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
195,1,1,46,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
196,0,1,50,1,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,0,0,33,1,7.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
198,1,1,49,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
199,1,1,52,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,1,0,25,0,0.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
201,0,1,41,1,6.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
202,0,1,68,1,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
203,0,1,79,0,2.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
204,1,1,40,1,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
205,0,0,62,1,3.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
206,1,0,21,0,3.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
207,0,0,20,0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
208,1,0,28,1,1.0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
209,1,1,57,1,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,0,0,25,0,8.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
211,0,1,63,0,8.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
212,0,1,26,0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
213,0,1,50,0,0.0,3.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
214,0,0,30,0,9.0,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
215,0,0,26,0,3.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
216,1,1,61,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,1,0,42,1,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
218,1,1,88,1,4.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
219,1,1,45,0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,0,1,86,1,1.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
221,1,0,18,0,1.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
222,1,0,37,1,3.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
223,1,1,46,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
224,1,1,58,0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,0,1,72,1,8.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
226,0,1,50,1,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
227,0,1,56,1,8.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,1,0,46,0,3.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
229,1,1,57,1,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
230,1,1,42,0,9.0,6.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
231,1,0,20,0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
232,1,0,19,0,3.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
233,1,0,19,0,4.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
234,1,1,68,1,1.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
235,0,1,40,1,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
236,1,1,82,0,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
237,0,0,23,0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
238,0,1,84,0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
239,1,1,51,0,0.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240,1,1,59,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,0,1,41,1,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,1,1,51,0,1.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
243,0,1,62,0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,0,1,62,0,1.0,4.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
245,0,1,38,1,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
246,1,0,18,0,3.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
247,1,0,22,0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
248,0,1,30,1,0.0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
249,0,1,62,1,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
250,0,0,43,0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
251,0,0,32,1,3.0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
252,1,1,37,1,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
253,1,0,48,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
254,0,0,31,1,4.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
255,1,1,46,0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
256,0,1,49,0,1.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
257,1,1,43,0,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,1,0,42,1,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
259,1,1,37,1,3.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
260,1,1,72,1,3.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
261,1,1,71,0,3.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
262,0,0,39,1,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
263,1,0,20,0,0.0,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
264,0,0,26,0,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
265,1,1,72,1,1.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
266,1,1,70,1,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
267,1,0,45,1,2.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
268,1,0,33,0,7.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
269,1,1,50,0,0.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
270,1,0,31,1,6.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
271,0,1,74,0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
